Lastname,Firstname,Authorname,JoinedAsBuilder,Affiliation,ORCID

Percival,Will,W.~J.~Percival,True,"Department of Physics and Astronomy, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",0000-0002-0644-5727
Percival,Will,W.~J.~Percival,True,"Perimeter Institute for Theoretical Physics, 31 Caroline St. North, Waterloo, ON N2L 2Y5, Canada",0000-0002-0644-5727
Percival,Will,W.~J.~Percival,True,"Waterloo Centre for Astrophysics, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",0000-0002-0644-5727

Prada,Francisco,F.~Prada,True,"Instituto de Astrof\'{i}sica de Andaluc\'{i}a (CSIC), Glorieta de la Astronom\'{i}a, s/n, E-18008 Granada, Spain",0000-0001-7145-8674

Pérez-Ràfols,Ignasi,I.~P\'erez-R\`afols,True,"Departament de F\'isica, EEBE, Universitat Polit\`ecnica de Catalunya, c/Eduard Maristany 10, 08930 Barcelona, Spain",0000-0001-6979-0125

Rossi,Graziano,G.~Rossi,True,"Department of Physics and Astronomy, Sejong University, Seoul, 143-747, Korea",

Sanchez,Eusebio,E.~Sanchez,True,"CIEMAT, Avenida Complutense 40, E-28040 Madrid, Spain",0000-0002-9646-8198

Schubnell,Michael,M.~Schubnell,True,"Department of Physics, University of Michigan, Ann Arbor, MI 48109, USA",
Schubnell,Michael,M.~Schubnell,True,"University of Michigan, Ann Arbor, MI 48109, USA",

Seo,Hee-Jong,H.~Seo,True,"Department of Physics \& Astronomy, Ohio University, Athens, OH 45701, USA",0000-0002-6588-3508

Sprayberry,David,D.~Sprayberry,True,"NSF NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",

Tarlé,Gregory,G.~Tarl\'{e},True,"University of Michigan, Ann Arbor, MI 48109, USA",0000-0003-1704-0781

Weaver,Benjamin Alan,B.~A.~Weaver,True,"NSF NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",

Zou,Hu,H.~Zou,True,"National Astronomical Observatories, Chinese Academy of Sciences, A20 Datun Rd., Chaoyang District, Beijing, 100012, P.R. China",0000-0002-6684-3997
